type,estimate,conf.low,conf.high,statistic,DW_p_value
All Data,0.1514457276653677,-0.07062109865112116,0.35920984956575086,2.271295403839409,0.8797630431059571
Cool subset,0.21503475912636338,-0.08027434426931664,0.47564129044374237,2.8574206876133075,0.9988489128387799
Paleozoic,0.1397005120031679,-0.19305734036032146,0.4436379575134237,2.6154772613967543,0.9704859914032463
Mesozoic,0.26944933086357536,-0.10769137771555307,0.5787961617983547,1.8641405445496462,0.33899964461241555
Cenozoic,0.06450230819141098,-0.5289811208272424,0.6156150984340084,2.0830115552202324,0.4963807795273163
